Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree;;
207;Edwin Jürgensen;Darsteller;3;43;4;0.407444;0.441839;1790.624194;0.415776;41;;
208;Eduard von Borsody;Schnitt;3;38;4;0.39226;0.42499;986.818305;0.31489;34;;
209;Carola Höhn;Darsteller;3;41;3;0.424289;0.456354;1325.37284;0.58519;39;;
210;Bobby E. Lüthge;Drehbuch;3;43;4;0.394143;0.427223;662.192554;0.452918;35;;
211;Wladimir von Meinhardt;Bauten;3;56;4;0.396427;0.430775;837.793818;0.480074;41;;
212;Max Wallner;Drehbuch;3;37;4;0.393199;0.424888;1534.784236;0.349995;33;;
213;Thea von Harbou;Drehbuch;3;43;4;0.41277;0.446102;1126.096887;0.436408;39;;
214;Axel Eggebrecht;Drehbuch;3;40;4;0.415486;0.449249;2412.082451;0.389426;38;;
215;Trude Hesterberg;Darsteller;3;28;4;0.378515;0.407734;907.536973;0.21629;28;;
216;Emil Burri;Drehbuch;3;40;3;0.407849;0.439708;1038.391809;0.459022;37;;
217;Trude Marlen;Darsteller;3;42;4;0.403044;0.437779;1478.649996;0.505505;40;;
218;Munni Obal;Schnitt;3;42;4;0.411323;0.445189;1431.318515;0.449413;39;;
219;Roger von Norman;Schnitt;3;42;3;0.429393;0.461429;2003.836577;0.579101;40;;
220;Albrecht Schoenhals;Darsteller;3;38;3;0.424728;0.455542;1182.171933;0.481191;36;;
221;Erich Czerwonski;Bauten;3;39;4;0.403242;0.433922;954.568534;0.377729;32;;
222;S. S. von Varady;Drehbuch;3;30;4;0.406838;0.436155;810.353835;0.353693;28;;
223;Willy Birgel;Darsteller;3;39;4;0.392447;0.425091;1550.485207;0.296836;37;;
224;Alexander Loschakoff;Bauten;3;56;4;0.396427;0.430775;837.793818;0.480074;41;;
225;Otto Baecker;Kamera;3;43;4;0.397579;0.431283;1117.259054;403;39;;
226;Otto Erdmann;Bauten;3;45;4;0.408458;0.442245;947.86285;0.461507;40;;
227;Alexander von Lagorio;Kamera;3;44;4;0.403638;0.437678;1717.965019;0.400558;41;;
228;Max Mellin;Bauten;3;40;4;0.388915;0.420828;880.09182;0.324262;35;;
229;Otto Moldenhauer;Bauten;3;38;4;0.396044;0.426817;594.569471;0.349261;32;;
230;Wilhelm P. Krüger;Darsteller;3;45;4;0.391885;0.42773;2156.368728;0.426461;43;;
232;Otto Wernicke;Darsteller;3;38;4;0.410911;0.44255;1189.284057;0.422047;35;;
233;Werner Klingler;Regie/Drehbuch;3;39;4;0.363918;0.391596;706.946895;0.212533;27;;
234;Martha Dübber;Schnitt;3;39;4;0.402254;0.435242;961.504401;0.395739;37;;
235;Erich Engel;Regie;3;43;4;0.402846;0.433516;411.228514;0.416672;32;;
236;Herbert Hübner;Darsteller;2;27;4;0.3891;0.416464;598.08636;0.291701;25;;
237;Susi Lanner;Darsteller;2;27;4;0.379565;0.406618;544.190928;0.277766;26;;
238;Sybille Schmitz;Darsteller;2;30;4;0.386171;0.411998;183.049115;0.26101;24;;
239;Hermann Erhardt;Darsteller;2;26;4;0.372505;0.397889;559.522648;0.245352;24;;
240;Hilde Krüger;Darsteller;2;25;4;0.380798;0.407633;939.573814;0.247208;24;;
241;Herbert Maisch;Regie;2;23;4;0.387813;0.415246;645.502565;0.264047;23;;
242;Hermann Haller;Schnitt;2;26;4;0.397964;0.424787;97.672415;0.306714;21;;
243;Vasa Prihoda;Darsteller;2;25;5;0.333604;0.354933;65.81321;0.089587;17;;
244;Ursula Deinert;Darsteller;2;26;4;0.366191;0.388652;25.067707;0.2124;17;;
245;Ubaldo Arata;Kamera;2;25;5;0.333604;0.354933;65.81321;0.089587;17;;
246;Herbert B. Fredersdorf;Schnitt;2;25;3;0.397964;0.424685;839.248772;0.316546;25;;
247;Hermann Asmus;Bauten;2;29;4;0.379565;0.406009;320.2869;0.248939;26;;
248;Hermann Schmidt;Produzent;2;30;4;0.384004;0.411592;647.104651;0.231752;26;;
249;Marika Rökk;Darsteller;2;26;3;0.418237;0.444986;483.476618;0.38509;25;;
250;Viktoria von Ballasko;Darsteller;2;25;4;0.380798;0.406212;913.381512;0.194139;21;;
251;Hansom Milde-Meißner;Musik;2;28;4;0.348472;0.371701;129.475909;0.146991;21;;
252;Wolfgang Liebeneiner;Darsteller;2;14;4;0.378515;0.400934;116.917477;0.192409;14;;
253;Hans Klaehr;Drehbuch;2;33;4;0.379565;0.408749;569.769578;0.336363;30;;
254;Hans Kyser;Drehbuch;2;37;4;0.375744;0.402456;84.385063;0.346674;25;;
255;Hans Ledersteger;Bauten;2;25;5;0.333604;0.354933;65.81321;0.089587;17;;
256;Wolfgang Becker;Schnitt;2;24;4;0.369487;0.393524;261.361608;0.164072;20;;
257;Willy Zeyn jun.;Schnitt;2;27;4;0.379565;0.406719;794.551339;0.216922;24;;
258;Hans Moser;Darsteller;2;27;4;0.371493;0.398498;1656.233664;0.213781;26;;
259;Willy Zeunert;Schnitt;2;28;4;0.371661;0.40134;966.762311;0.269417;28;;
260;Hans Sassmann;Drehbuch;2;29;4;0.382216;0.407328;166.589918;0.266547;21;;
261;Hans Schlenck;Darsteller;2;24;4;0.393011;0.419204;526.053549;0.237492;23;;
262;Willy Fritsch;Darsteller;2;24;4;0.375572;0.401035;84.58408;0.25472;20;;
263;Werner Schlichting;Bauten;2;28;4;0.381683;0.40946;391.514543;0.270687;26;;
264;Harald Bratt;Drehbuch;2;24;4;0.379741;0.404791;508.219835;0.181641;21;;
265;Volker von Collande;Darsteller;2;28;4;0.382572;0.409562;483.13197;0.259156;25;;
266;Werner Eisbrenner;Musik;2;22;4;0.378341;0.401441;200.786075;0.202176;18;;
267;Weiß-Ferdl;Darsteller;2;20;4;0.359457;0.382663;157.731719;0.158599;19;;
268;Walter Zerlett-Olfenius;Drehbuch;2;26;4;0.372167;0.397889;141.843425;0.206944;20;;
269;Harry Hardt;Darsteller;2;24;4;0.377298;0.403776;340.778301;0.227684;23;;
270;Walter Wischniewsky;Schnitt;2;29;4;0.369986;0.397686;411.964597;0.250501;27;;
271;Heinrich George;Darsteller;2;27;4;0.372843;0.399411;709.291694;0.236924;26;;
272;Walter Wassermann;Drehbuch;2;25;3;0.405032;0.431587;475.925494;0.358164;24;;
273;Hilde Weissner;Darsteller;2;26;4;0.392823;0.421336;497.302907;0.306335;26;;
274;Walter Rilla;Darsteller;2;20;4;0.372167;0.395859;295.628803;0.160449;19;;
275;Heinz Rühmann;Darsteller;2;27;4;0.379565;0.405907;864.446215;0.236338;25;;
276;Heinz-Friedel Heddenhausen;Musik;2;30;4;0.397771;0.425091;715.426061;0.266518;25;;
277;Walter Espe;Musik;2;27;4;0.401075;0.42905;479.800499;0.329347;26;;
278;Suse Graf;Darsteller;2;25;4;0.382038;0.40946;406.813325;0.274711;24;;
280;Serge de Poligny;Regie;2;23;4;0.380974;0.405907;798.766838;0.181087;21;;
281;Karl Valentin;Darsteller;2;26;4;0.396427;0.422757;578.336145;0.256112;21;;
282;Kurt Heynicke;Drehbuch;2;26;4;0.391325;0.418392;355.804635;0.284712;24;;
283;Kurt Herlth;Bauten;2;28;4;0.381683;0.40946;391.514543;0.270687;26;;
284;Kurt Fischer-Fehling;Darsteller;2;24;4;0.367502;0.394336;334.817617;0.203546;23;;
285;Kurt Dürnhöfer;Bauten;2;24;4;0.388547;0.416768;445.796713;0.258829;24;;
286;Karlheinz Martin;Regie;2;24;4;0.39835;0.426005;638.899188;0.293075;24;;
287;Karl Vollbrecht;Bauten;2;30;4;0.380798;0.406618;354.731816;0.256977;24;;
289;Sabine Peters;Darsteller;2;26;4;0.382394;0.410171;515.930127;0.263428;25;;
