Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree,Column,Column2
137,Alois Johannes Lippl,Drehbuch/Regie,3,34,4,0.373682,0.40121,59.302172,0.247443,19,,
138,Werner Brandes,Kamera,3,40,4,0.412188,0.450605,931.89367,0.552458,39,,
139,Werner Bochmann,Musik,3,38,4,0.401294,0.4347,987.725331,0.325809,33,,
140,Arthur Schröder,Darsteller,3,39,3,0.42369,0.455645,1461.022811,0.481619,35,,
141,Bruno Monden,Bauten,3,38,4,0.395534,0.430332,708.75104,0.402232,35,,
142,Rolf Meyer,Drehbuch,3,44,4,0.412646,0.451277,654.227808,0.593363,39,,
143,Walter Wischniewsky,Schnitt,3,35,4,0.378241,0.412522,1146.143612,0.275352,31,,
144,Alfred Abel,Darsteller,3,40,4,0.410596,0.447469,1092.651681,0.551714,37,,
145,Walter Wassermann,Drehbuch,3,41,5,0.400431,0.437948,881.28192,0.449523,37,,
146,René Métain,Schnitt,3,42,4,0.397648,0.435596,978.414072,0.37825,38,,
804,Willi Kollo,Musik/Drehbuch,2,26,4,0.372372,0.394153,0,0.191555,12,,
821,Willi Forst,Drehbuch/Regie/Produzent,4,50,5,0.353276,0.381832,323.327935,0.164675,22,,
150,Carl Haacker,Bauten,3,38,4,0.404128,0.43582,1146.131336,0.300515,33,,
151,Walter Gronostay,Musik,3,39,4,0.399785,0.435148,626.319653,0.413665,32,,
152,Walter Fredersdorf,Schnitt,3,42,4,0.423208,0.458893,1547.77923,0.547216,39,,
153,Robert A. Stemmle,Drehbuch/Regie,3,36,4,0.385093,0.417451,432.130084,0.245363,24,,
154,Robert Baberske,Kamera,3,40,4,0.408567,0.447245,1350.446644,0.468097,39,,
155,Roger von Norman,Schnitt,3,37,4,0.408342,0.443436,519.534138,0.490312,33,,
156,Will Dohm,Darsteller,3,40,4,0.420339,0.458221,1627.746034,0.492226,40,,
157,Theo Lingen,Darsteller,3,39,4,0.411504,0.448925,1679.047109,0.41702,38,,
158,Paul Henckels,Darsteller,3,37,5,0.3968,0.435708,1203.736378,0.419933,35,,
