Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree
365,Hans Moser,Darsteller,2,30,5,0.376534,0.405896,672.949329,0.235704,30
366,Michel Michelet,Musik,2,27,5,0.360276,0.385922,697.36813,0.119946,25
367,John Longden,Darsteller,2,30,5,0.37518,0.405097,693.795424,0.203495,27
368,Hans Rameau,Drehbuch,2,17,5,0.367254,0.390876,49.61789,0.115954,13
369,Hans Schneeberger,Kamera,2,31,5,0.365068,0.392633,1096.367598,0.167405,28
370,Hans Schönlank,Drehbuch/Regie,2,8,6,0.296982,0.310738,0,0.013879,4
371,Ludwig Reiber,Bauten,2,28,5,0.370647,0.398626,165.892525,0.186656,25
372,Joe May,Produzent,2,28,5,0.371571,0.398706,472.704421,0.17368,27
373,Jeanne Marie-Laurent,Darsteller,2,29,5,0.372234,0.401422,449.543676,0.168528,27
374,Max Maximilian,Darsteller,2,21,5,0.366222,0.392074,793.702072,0.128609,21
376,Alexander von Lagorio,Kamera,2,24,5,0.372367,0.398226,181.981536,0.137291,20
377,André Pilot,Darsteller,2,33,4,0.378722,0.407878,490.553301,0.240571,29
378,Curt Oertel,Kamera,2,24,5,0.372367,0.398226,181.981536,0.137291,20
379,Sam Winston,Schnitt,2,30,5,0.353679,0.376734,4.810683,0.130351,17
380,S. Simmonds,Schnitt,2,29,5,0.360775,0.38768,294.479264,0.148764,23
381,Edgar G. Ulmer,Produzent/Regie,2,28,5,0.319058,0.336865,0,0.033185,13
382,Rudolf Nelson,Musik,2,25,5,0.391076,0.420757,310.51949,0.209683,23
383,Rudolf Lettinger,Darsteller,2,23,5,0.355973,0.37937,954.693298,0.084698,21
384,Rudolf Frank,Drehbuch,2,25,5,0.363288,0.38752,50.863775,0.132016,19
385,Rolf Randolf,Regie,2,21,4,0.367772,0.394056,299.28775,0.140547,21
386,Rolf Marbot,Musik,2,33,5,0.396126,0.42691,330.229811,0.323774,31
387,Else Baum,Schnitt,2,30,4,0.367383,0.393736,338.008826,0.175932,29
388,Else Heller,Darsteller,2,25,5,0.359903,0.384564,460.354253,0.112418,25
390,Emeric Pressburger,Drehbuch,2,29,5,0.381772,0.41069,2353.118104,0.186212,27
391,Robert Wohlmuth,Regie,2,18,5,0.362909,0.385602,106.095441,0.105448,14
392,Wilhelm von Kaufmann,Produzent,2,31,5,0.377899,0.405577,83.790892,0.231065,24
393,Amleto Palermi,Regie,2,7,6,0.270628,0.284244,169.740443,0.009073,7
394,Erich Schmidt,Regie,2,29,5,0.364049,0.393512,999.014432,0.123146,28
395,Erich Schönfelder,Regie,2,21,5,0.384729,0.413167,308.885919,0.218081,21
396,Erich Zander,Bauten,2,26,5,0.36115,0.38728,448.697115,0.134968,25
398,Erika Glässner,Darsteller,2,24,5,0.369727,0.397667,302.102683,0.190966,23
399,Robert Baberske,Kamera,2,27,5,0.38544,0.415085,878.249899,0.200037,27
400,Ernst Behmer,Darsteller,2,22,5,0.369334,0.396948,622.7132,0.159749,22
401,Robert A. Dietrich,Bauten,2,20,5,0.345708,0.365628,61.085618,0.075291,17
403,Reinhold Schünzel,Darsteller/Regie,2,26,4,0.391958,0.417945,353.624648,0.215987,25
404,Reinhold Bernt,Darsteller,2,30,5,0.353679,0.376734,4.810683,0.130351,17
405,Willi Kollo,Musik,2,23,5,0.377625,0.404219,121.794012,0.183414,21
406,Raoul Aslan,Darsteller,2,22,5,0.362153,0.383845,0,0.128931,11
407,Sophie Pagay,Darsteller,2,29,5,0.378722,0.407494,325.630232,0.22329,27
409,Alfred Strasser,Musik,2,25,5,0.391076,0.420757,310.51949,0.209683,23
410,Theodor Pištěk,Darsteller,2,24,5,0.355366,0.381608,1066.509181,0.14216,21
