Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree
491;Adele Hartwig;Darsteller;2;18;5;0.349143;0.371093;88.038997;0.172554;16
492;Luigi Serventi;Darsteller;2;28;5;0.319161;0.341908;0.071429;0.117742;15
493;seine Tochter;Darsteller;2;17;5;0.33431;0.356807;352.349454;0.139625;16
494;Alfred Hansen;Kamera;2;26;5;0.353908;0.382661;426.78355;0.23514;24
495;Willy Goldberger;Kamera;2;16;5;0.332169;0.352863;414.587811;0.095574;16
496;Alfred Wötzel;Darsteller;2;20;1;1;1;18.666667;0.017712;17
497;Willi A. Herrmann;Bauten;2;28;6;0.274081;0.291864;253.049805;0.034331;17
498;Artur Landsberger;Drehbuch;2;20;5;0.341924;0.365133;857.116533;0.147041;20
499;Artur Günther;Bauten;2;36;5;0.331976;0.35355;0;0.1315;16
500;Luciano Albertini;Darsteller;2;20;5;0.363492;0.386678;306.205838;0.201459;18
501;Arthur Rosen;Drehbuch;2;23;5;0.354348;0.383056;287.456573;0.255521;21
502;Arthur Bergen;Darsteller;2;17;5;0.330533;0.352425;281.231904;0.098049;14
503;Arpad Viragh;Kamera;2;21;5;0.343882;0.369033;376.577912;0.169711;19
504;Armin Petersen;Drehbuch;2;17;5;0.335786;0.356004;341.08318;0.091184;15
505;Wilhelm Thiele;Darsteller/Drehbuch;2;11;6;0.307962;0.328703;296.014893;0.05396;11
506;László Schäffer;Kamera;2;21;5;0.369615;0.39369;447.346945;0.20784;19
507;Ludwig George-Beck;Darsteller/Regie;2;10;1;1;1;0;0.002724;5
508;Willy Engst;Darsteller;2;16;1;1;1;0.142857;0.005926;8
509;Anna von Palen;Darsteller;2;15;5;0.336876;0.356924;95.820405;0.111317;12
1300;Bella Polini;Darsteller/Drehbuch;3;24;5;0.336479;0.35837;244.00337;0.123883;15
512;Ludwig Hinytzscg;Drehbuch/Regie;2;18;1;1;1;0;0.006081;8
514;Alois Pennarini;Darsteller;2;19;6;0.278293;0.295457;4.533333;0.050917;14
515;Aljoscha Zimmermann;Musik;2;30;5;0.320596;0.340549;0;0.121458;15
516;Alice Hechy;Darsteller;2;23;5;0.33549;0.360488;597.695211;0.144123;21
517;Alfredo Lenci;Kamera;2;28;5;0.319161;0.341908;0.071429;0.117742;15
518;Eduard von der Becke;Darsteller;2;18;5;0.319429;0.339162;2.376706;0.090783;10
519;Marc Roland;Musik;2;36;5;0.331976;0.35355;0;0.1315;16
521;F. W. Murnau;Regie;2;28;5;0.354678;0.385145;294.701674;0.322795;26
522;Eva Seeberg;Darsteller;2;15;6;0.291146;0.309378;81.56074;0.052086;13
524;Rolf Lindau-Schulz;Darsteller;2;18;5;0.361305;0.384852;534.399642;0.166305;17
525;Rolf Loer;Darsteller;2;18;6;0.322499;0.344391;1122.247623;0.081594;17
526;Eugen Illés;Regie;2;21;5;0.35;0.373021;692.465094;0.139896;20
527;Eugen Burg;Darsteller;2;14;5;0.307216;0.324817;69.233851;0.046121;11
528;Rolf Pinegger;Darsteller;2;14;5;0.319339;0.337949;507.287356;0.058063;12
529;Erwin Kalser;Darsteller;2;16;5;0.327779;0.348539;280.334977;0.076518;15
530;Ernö Metzner;Bauten;2;36;5;0.331976;0.35355;0;0.1315;16
1314;Valy Arnheim;Regie/Darsteller/Drehbuch;4;28;5;0.299632;0.318814;502.700759;0.039226;14
534;Ernst Scheberg;Regie;2;12;7;0.224828;0.235938;0;0.006358;6
535;Karl Platen;Darsteller;2;18;5;0.339887;0.36411;795.55827;0.140396;18
536;Ernst Lüttgens;Kamera;2;36;5;0.331976;0.35355;0;0.1315;16
537;Ernst Lubitsch;Produzent/Regie;2;26;5;0.329674;0.351914;0;0.13043;13
538;Ernst Fiedler-Spies;Drehbuch/Regie;2;18;5;0.350215;0.373824;2300.429749;0.126326;18
539;Rudolf Meinert;Drehbuch/Regie;2;20;5;0.320506;0.339863;0;0.076923;10
