Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree;clustering;triangles;;
178;Franz Tappers;Produzent;3;42;4;0.42257;0.452505;298.523622;0.319963;32;0.544355;270;;
179;Gustav Althoff;Produzent;3;37;5;0.369185;0.395954;54.06528;0.13504;22;0.679654;157;;
180;Adolf Wohlbrück;Darsteller;3;39;4;0.404963;0.436898;846.631705;0.271884;33;0.405303;214;;
181;Lucien Baroux;Darsteller;3;43;4;0.369185;0.402216;837.050312;0.215152;38;0.403983;284;;
182;Hans Richter;Darsteller/Drehbuch;3;43;4;0.425061;0.458767;2281.89078;0.336973;43;0.345515;312;;
183;Hans Schlenck;Darsteller;3;38;4;0.424853;0.455588;3045.401484;0.239157;37;0.333333;222;;
184;Gustaf Gründgens;Darsteller;3;38;5;0.408211;0.441715;1291.513653;0.216159;35;0.376471;224;;
185;Hans Sohnle;Bauten;3;44;4;0.424853;0.456069;1321.80429;0.278162;38;0.41963;295;;
186;Ludolf Grisebach;Schnitt;3;40;5;0.405342;0.441426;1143.761263;0.237083;38;0.357041;251;;
187;Friedrich Wilhelm Rust;Musik;3;42;4;0.397336;0.427746;190.775064;0.218737;30;0.554023;241;;
188;Hans Marr;Darsteller/Regie;4;47;5;0.338817;0.367726;463.206676;0.100218;25;0.65;195;;
189;Hans Zöberlein;Regie/Drehbuch;3;40;5;0.341088;0.364066;0;0.061214;18;1;153;;
190;Ludwig von Wohl;Drehbuch;3;43;4;0.418279;0.449229;597.324887;0.312954;34;0.490196;275;;
191;Ludwig Reiber;Bauten;3;42;5;0.401765;0.435164;416.723063;0.26532;34;0.45098;253;;
192;André Beucler;Regie;3;43;4;0.383592;0.415029;449.982088;0.2241;36;0.449206;283;;
193;Kurt Vespermann;Darsteller;3;34;5;0.401578;0.433719;585.788333;0.210269;31;0.372043;173;;
194;Fritz C. Mauch;Schnitt;3;42;5;0.39825;0.430347;466.067403;0.208984;31;0.488172;227;;
195;Hansom Milde-Meißner;Musik;3;31;4;0.37576;0.402794;259.791253;0.117187;24;0.550725;152;;
196;Sepp Allgeier;Kamera;3;54;5;0.368713;0.402312;478.724495;0.180261;34;0.582888;327;;
197;Kurt Neubert;Kamera;3;35;5;0.360267;0.386609;1295.921293;0.101926;20;0.684211;130;;
198;Harald Paulsen;Darsteller;3;37;4;0.419699;0.451349;319.914606;0.381321;36;0.44127;278;;
199;Roger Le Bon;Regie;3;38;4;0.382913;0.413487;589.490085;0.198414;32;0.439516;218;;
200;Gerhard Menzel;Drehbuch;3;28;4;0.357882;0.381696;62.349846;0.104327;20;0.689474;131;;
201;Marc Roland;Musik/Drehbuch;4;46;4;0.404963;0.437572;772.015999;0.248983;34;0.354724;199;;
202;Karl Hartl;Regie/Drehbuch;4;55;5;0.382574;0.415029;1063.484831;0.177744;33;0.462121;244;;
203;Hermann Warm;Bauten;3;44;4;0.424228;0.459056;1091.908672;0.332264;43;0.357697;323;;
204;Carmine Gallone;Regie;3;46;4;0.382067;0.41185;396.918737;0.19798;31;0.591398;275;;
205;Serge Véber;Regie;3;41;4;0.394077;0.427842;1444.061924;0.25378;41;0.352439;289;;
206;Enrico Benfer;Darsteller;3;39;4;0.40102;0.430154;200.049018;0.25125;28;0.566138;214;;
